Token: LT, Valor: <, Línea: 14
Token: QUESTION, Valor: ?, Línea: 14
Token: VARIABLE, Valor: php, Línea: 14
Token: VARIABLE, Valor: $string1, Línea: 15
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 15
Token: STRING, Valor: Hola, Línea: 15
Token: PUNTOYCOMA, Valor: ;, Línea: 15
Token: VARIABLE, Valor: $string2, Línea: 16
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 16
Token: STRING, Valor: Mundo, Línea: 16
Token: PUNTOYCOMA, Valor: ;, Línea: 16
Token: VARIABLE, Valor: $concatenacion, Línea: 17
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 17
Token: VARIABLE, Valor: $string1, Línea: 17
Token: CONCAT, Valor: ., Línea: 17
Token: STRING, Valor:  , Línea: 17
Token: CONCAT, Valor: ., Línea: 17
Token: VARIABLE, Valor: $string2, Línea: 17
Token: PUNTOYCOMA, Valor: ;, Línea: 17
Token: VARIABLE, Valor: $cantidad_palabras, Línea: 19
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 19
Token: VARIABLE, Valor: str_word_count, Línea: 19
Token: TUPLE, Valor: ($concatenacion), Línea: 19
Token: PUNTOYCOMA, Valor: ;, Línea: 19
Token: ECHO, Valor: echo, Línea: 21
Token: STRING, Valor: La concatenaciÃ³n es: '$concatenacion' y tiene $cantidad_palabras palabras., Línea: 21
Token: PUNTOYCOMA, Valor: ;, Línea: 21
Token: QUESTION, Valor: ?, Línea: 22
Token: GT, Valor: >, Línea: 22
