Token: LT, Valor: <, Línea: 1
Token: QUESTION, Valor: ?, Línea: 1
Token: VARIABLE, Valor: php, Línea: 1
Token: VARIABLE, Valor: $string1, Línea: 2
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 2
Token: STRING, Valor: Hola, Línea: 2
Token: PUNTOYCOMA, Valor: ;, Línea: 2
Token: VARIABLE, Valor: $string2, Línea: 3
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 3
Token: STRING, Valor: Mundo, Línea: 3
Token: PUNTOYCOMA, Valor: ;, Línea: 3
Token: VARIABLE, Valor: $concatenacion, Línea: 4
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 4
Token: VARIABLE, Valor: $string1, Línea: 4
Token: CONCAT, Valor: ., Línea: 4
Token: STRING, Valor:  , Línea: 4
Token: CONCAT, Valor: ., Línea: 4
Token: VARIABLE, Valor: $string2, Línea: 4
Token: PUNTOYCOMA, Valor: ;, Línea: 4
Token: VARIABLE, Valor: $cantidad_palabras, Línea: 6
Token: SIMPLE_ASSIGNMENT, Valor: =, Línea: 6
Token: VARIABLE, Valor: str_word_count, Línea: 6
Token: TUPLE, Valor: ($concatenacion), Línea: 6
Token: PUNTOYCOMA, Valor: ;, Línea: 6
Token: ECHO, Valor: echo, Línea: 8
Token: STRING, Valor: La concatenación es: '$concatenacion' y tiene $cantidad_palabras palabras., Línea: 8
Token: PUNTOYCOMA, Valor: ;, Línea: 8
Token: QUESTION, Valor: ?, Línea: 9
Token: GT, Valor: >, Línea: 9
